Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS▼,WS/48,,OBPM,DBPM,BPM,VORP
50,Robert Williams\williro04,C,23,BOS,52,985,25.7,0.719,0.008,0.283,14.9,25.6,20.2,14.2,2.1,8.6,15.2,15.0,,3.4,1.9,5.3,0.258,,2.9,3.1,6.0,2.0
51,Bojan Bogdanović\bogdabo02,SF,31,UTA,72,2216,14.0,0.588,0.498,0.286,2.0,11.1,6.7,9.1,1.0,0.1,10.9,22.8,,2.7,2.5,5.2,0.113,,0.2,-0.7,-0.4,0.9
52,Joe Harris\harrijo01,SF,29,BRK,69,2141,14.1,0.663,0.628,0.089,2.3,10.1,6.4,8.4,1.0,0.6,7.8,16.2,,4.1,1.1,5.2,0.117,,1.5,-1.2,0.4,1.3
53,Nerlens Noel\noelne01,C,26,NYK,64,1547,14.8,0.638,0.013,0.314,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,,1.6,3.6,5.2,0.162,,-2.4,3.8,1.4,1.3
54,Terry Rozier\roziete01,SG,26,CHO,69,2383,17.1,0.575,0.504,0.178,2.1,11.8,6.9,20.0,1.8,1.1,9.5,24.4,,3.3,2.0,5.2,0.105,,2.2,-0.5,1.6,2.2
55,Jalen Brunson\brunsja01,PG,24,DAL,68,1697,17.1,0.618,0.319,0.241,1.8,13.1,7.5,21.3,1.0,0.1,10.3,20.2,,3.9,1.1,5.1,0.143,,1.5,-0.6,0.9,1.2
56,Derrick Favors\favorde01,C,29,UTA,68,1039,19.7,0.663,0.008,0.329,14.7,23.3,19.2,6.0,1.5,5.3,11.5,13.0,,2.9,2.2,5.1,0.237,,0.3,2.4,2.6,1.2
57,Kelly Olynyk\olynyke01,C-PF,29,TOT,70,1997,16.4,0.610,0.528,0.251,4.8,22.5,13.6,16.0,1.9,2.1,14.0,19.7,,2.5,2.6,5.1,0.121,,0.3,0.9,1.2,1.6
58,Mason Plumlee\plumlma01,C,30,DET,56,1499,18.7,0.638,0.018,0.444,10.6,28.1,19.3,21.0,1.4,2.9,18.7,16.3,,3.0,2.1,5.1,0.164,,0.2,2.0,2.2,1.6
59,Thaddeus Young\youngth01,PF,32,CHI,68,1652,20.3,0.578,0.068,0.171,11.4,16.9,14.2,27.1,2.2,2.1,16.1,22.3,,2.8,2.2,5.1,0.147,,1.9,1.4,3.3,2.2
60,Nicolas Batum\batumni01,SF,32,LAC,67,1835,12.9,0.617,0.660,0.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,,2.7,2.3,5.0,0.132,,0.6,1.5,2.1,1.9
61,Kevin Durant\duranke01,PF,32,BRK,35,1157,26.4,0.666,0.313,0.395,1.3,21.3,11.8,27.5,1.0,3.4,14.5,31.2,,3.7,1.2,5.0,0.206,,6.4,0.8,7.2,2.7
62,Devin Booker\bookede01,SG,24,PHO,67,2270,19.2,0.587,0.288,0.305,1.7,12.1,7.0,20.6,1.2,0.6,12.4,32.7,,2.9,2.0,4.9,0.104,,1.7,-1.4,0.3,1.3
63,Jaylen Brown\brownja02,SG,24,BOS,58,1999,19.9,0.586,0.370,0.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,,2.8,2.0,4.8,0.115,,3.2,-0.7,2.5,2.3
64,T.J. McConnell\mccontj01,PG,28,IND,69,1796,16.9,0.583,0.098,0.098,3.3,12.1,7.7,34.3,3.4,1.0,20.9,15.3,,2.6,2.2,4.8,0.128,,-0.2,1.7,1.4,1.5
65,Bobby Portis\portibo01,C,25,MIL,66,1372,19.9,0.598,0.263,0.122,9.9,25.3,17.9,7.4,1.8,1.7,8.2,20.9,,2.8,2.0,4.8,0.167,,1.8,-0.4,1.5,1.2
66,CJ McCollum\mccolcj01,SG,29,POR,47,1600,20.8,0.577,0.475,0.150,2.0,10.6,6.2,23.0,1.3,1.2,6.5,27.1,,4.1,0.6,4.7,0.141,,5.0,-1.1,3.9,2.4
67,Norman Powell\powelno01,SG-SF,27,TOT,69,2205,16.2,0.618,0.453,0.295,2.0,8.8,5.3,9.2,1.8,0.8,10.3,22.6,,3.4,1.3,4.7,0.103,,1.1,-0.7,0.4,1.3
68,Reggie Bullock\bullore01,SF,29,NYK,65,1949,11.1,0.606,0.709,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,,2.3,2.3,4.6,0.114,,-0.9,0.8,-0.1,0.9
